,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
162,"Poesia senza veli",Ultimo,317719,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
163,"Visti Dall'Alto (feat. Dardust)",Rkomi,317237,https://open.spotify.com/track/50Im1CDeBfRbJUPacCEIOS
164,"6 del mattino (feat. Brancar)","Jake La Furia",316942,https://open.spotify.com/track/34RaVshrBXIINSVrIzW47P
165,"Street Life","Rocco Hunt",316614,https://open.spotify.com/track/0GF55buAJEB1rnh42v63I5
166,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",314893,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
167,Rollercoaster,"Emis Killa",313294,https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf
168,Chic,Izi,310054,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
169,"Sex On The Beach","Dark Polo Gang",308290,https://open.spotify.com/track/3xKe1DOJinKfVTZyuHjFWz
170,"Dove Sei?",Alfa,305450,https://open.spotify.com/track/7kzTNbYGnZoZnuXeYsW3Mu
171,"Il ballo delle incertezze",Ultimo,303593,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
172,"Torna a casa",Måneskin,297932,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
173,Sopra,Gazzelle,297135,https://open.spotify.com/track/3Cbaa4ZmODhKEGSkMsbkOO
174,Shallow,"Lady Gaga",297032,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
175,Toradol,Gemitaiz,295533,https://open.spotify.com/track/3Rmv3h4ovgt9xVgWOfMlLx
176,"Speechless (feat. Erika Sirola)","Robin Schulz",294702,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
177,"SOS (feat. Aloe Blacc)",Avicii,294438,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
178,"Stanza Singola (feat. Tommaso Paradiso)",Franco126,293481,https://open.spotify.com/track/23hpOtox5sIuRqVBVVJxsO
179,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",291875,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
180,"E Fumo Ancora - Acoustic Version",Mostro,289479,https://open.spotify.com/track/13pPMF0wN7r19IU8vV2igc
181,"Amore e Capoeira","Takagi & Ketra",289420,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
182,"SICKO MODE","Travis Scott",288278,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
183,"La ragazza con il cuore di latta",Irama,286979,https://open.spotify.com/track/0NmyHZZMfVBiUSOfDmz9Bf
184,Malibu,"Vegas Jones",282972,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
185,"La Libertad","Alvaro Soler",281297,https://open.spotify.com/track/3DsLBZjoU5AYxZXsepHtsW
186,"Mad Love",Mabel,280987,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
187,"Billets (feat. Ninho)","Capo Plaza",280771,https://open.spotify.com/track/2aD5ESGyEhXnXdoOsZvsR0
188,"STAI ZITTO (feat. Fabri Fibra)",Salmo,279382,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
189,"Torna Da Me",Luche,278857,https://open.spotify.com/track/5iSHLCuc0K3pUW16b7sSP4
190,Happier,Marshmello,278799,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
191,"Nun E' Giusto","Rocco Hunt",275658,https://open.spotify.com/track/4BOIQxE2SM6hoyANU2FIl3
192,"Catrame (feat. Tedua)",Lazza,274386,https://open.spotify.com/track/5qbVso0dAtoI2gFhj7V8oG
193,Casa,"Giordana Angi",273108,https://open.spotify.com/track/65sEIdBT16fziZvjhckFpq
194,"Fumo Da Solo",Izi,272885,https://open.spotify.com/track/6uMdn1ovj2ZRHGMbiTQAvy
195,"Hola (I Say) (feat. Tom Walker)","Marco Mengoni",270527,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi
196,"Con Altura",ROSALÍA,269195,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
197,"Soltera (Remix)",Lunay,269147,https://open.spotify.com/track/2qMnZF5Ja2WvmfbblByQza
198,"Bling Bling (Oro)","Guè Pequeno",267943,https://open.spotify.com/track/11AXfsh0V6zCCU7Po6kQiY
199,"Certi Giorni (feat. Nitro)",Ernia,267660,https://open.spotify.com/track/4nvsA575k8HrEjdQ78Ymvi
200,ARSENICO,AIELLO,264621,https://open.spotify.com/track/3jWXXk597CC7e8fT1ElB7I
