,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
108,Faded,"Alan Walker",200226,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
109,"Sunday Best",Surfaces,200071,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
110,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,200013,https://open.spotify.com/track/2TbCdbFzs2xO2nzasn0Qvw
111,Supalonely,BENEE,199833,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
112,Sage,Ritviz,199079,https://open.spotify.com/track/64RkEV5b7bG697vhIPMlrl
113,"Surma Surma","Guru Randhawa",196277,https://open.spotify.com/track/77riTlvCLV3K8O0glNiQ8B
114,"Teri Mitti",Arko,196107,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12
115,"Kudi Nu Nachne De (From ""Angrezi Medium"")","Vishal Dadlani",195235,https://open.spotify.com/track/4YIhJmihoXwjtbY4vsV9Nh
116,Closer,"The Chainsmokers",192781,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
117,Sahiba,Intense,191629,https://open.spotify.com/track/4XtachaWEN7ybO2LrwsaEA
118,Savage,"Megan Thee Stallion",189537,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
119,"Chalo Chalein",Ritviz,188921,https://open.spotify.com/track/0NS3ca87AFGTQ2jHWeaLJ1
120,"Break My Heart","Dua Lipa",188762,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
121,"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh",188463,https://open.spotify.com/track/3f0wz6zcA7XkQiGm0qNF5r
122,"Sip Sip 2.0 (From ""Street Dancer 3D"")","Garry Sandhu",188155,https://open.spotify.com/track/7Jo4yv6Iiwxla5z10lE1L9
123,"Nachan Nu Jee Karda",Romy,187786,https://open.spotify.com/track/1Gf74nU1W35iJXFKbOKucL
124,"My Life Is Going On - From ""La casa de papel""","Cecilia Krull",186664,https://open.spotify.com/track/3CzOmjnh76DCbAUybQ0K5H
125,"Pehla Pyaar","Armaan Malik",186150,https://open.spotify.com/track/0ojpEubhy4JNeVftmVuiN7
126,Yaari,Nikk,185593,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq
127,Astronomia,Vicetone,185438,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
128,"Ek Toh Kum Zindagani (From ""Marjaavaan"")","Neha Kakkar",184794,https://open.spotify.com/track/6oDHAjaJJjwwgoAuMIeY9K
