,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
182,"More Than You Know","Axwell /\ Ingrosso",396403,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
183,Cuidado,Gaab,395587,https://open.spotify.com/track/0dmw9MBJeUeeEdsFOEbIaC
184,"Joga Bunda","Aretuza Lovi",391695,https://open.spotify.com/track/6h78dT41teS3xbyVwKBLV7
185,"Bumbum de Ouro","Gloria Groove",383471,https://open.spotify.com/track/1DgHVOq15mmso5RY0YQy6l
186,"Bum Bum Tam Tam","MC Fioti",382111,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
187,"Felices los 4",Maluma,377147,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
188,"Então Vai (Get By) (feat. Diplo)","Pabllo Vittar",376279,https://open.spotify.com/track/5SOxxG6ju1Oq2hpoa6wARV
189,"Reggaetón Lento (Remix)",CNCO,372162,https://open.spotify.com/track/5PB8zB1MOZASboLquvinMF
190,"Look Alive (feat. Drake)","BlocBoy JB",371104,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
191,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",370793,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
192,"Buzz Lightyear","Pineapple StormTv",368909,https://open.spotify.com/track/4svcCNuxugwP6wrSnoMIfB
193,X,"Nicky Jam",367632,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
194,Loka,"Simone & Simaria",365994,https://open.spotify.com/track/12bMDI4NKm0arLS3PKv6Fo
195,"Beber Com Emergência - Ao Vivo","Jefferson Moraes",365827,https://open.spotify.com/track/1IcbQvHb9B7MikgQjfJtAl
196,Singular,ANAVITÓRIA,361520,https://open.spotify.com/track/3eGK0WFi6ISJ9UZA6Za4HX
197,"Coração de Aço","Hungria Hip Hop",361254,https://open.spotify.com/track/6waLZw9qNP36DtHFPeyTz6
198,"Avisa Que Eu Cheguei - Ao Vivo","Naiara Azevedo",360615,https://open.spotify.com/track/39vJqbfolMyPJtJuyoj1EM
199,"Oh Meu Deus",Projota,359910,https://open.spotify.com/track/3bp5fh0qPmCqC5PWEewFkm
200,"Tenta Vir - Acústico",1Kilo,359352,https://open.spotify.com/track/6TtEsPJua1fXgiaYSjo4JD
