,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
88,Malemolência,"Dynho Alves",1167824,https://open.spotify.com/track/5rwdmpN5eMWIIwK4R96vv1
89,Brisa,IZA,1161494,https://open.spotify.com/track/5rNNZ6fVYxkhwqUfImVhU1
90,"Até o céu",Anitta,1146999,https://open.spotify.com/track/0NRP5OIrTcgGvttJlSLO0n
91,"Hoje Eu Vou Parar Na Gaiola","Mc Livinho",1141543,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F
92,"Também Sei Fazer Falta - Ao Vivo","Israel & Rodolffo",1136119,https://open.spotify.com/track/6hrV6KYL9zM8vFAbOSxFHY
93,"On & On",Alok,1129539,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat
94,"Teu Segredo - Ao Vivo","Vou pro Sereno",1127577,https://open.spotify.com/track/15DHt4fP4FARWLvWkIxdAx
95,"Ouvi Dizer",Melim,1126273,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
96,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",1124980,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
97,"Romance Proibido - Ao Vivo","MC Kevin o Chris",1109938,https://open.spotify.com/track/2UxeBJPanPvF3Q2xH6zkbC
98,"Namorada Reserva - Ao Vivo","Hugo & Guilherme",1106079,https://open.spotify.com/track/5GHA824FwkHeBl5u1T6kLj
99,"Intenção - Ao Vivo","Marília Mendonça",1103298,https://open.spotify.com/track/1qy7aOHnfnOMJoT1fhoLYG
100,Circles,"Post Malone",1096418,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
101,"Apaixonadinha - Ao Vivo","Marília Mendonça",1072076,https://open.spotify.com/track/0rUL7vUZmCKxB0gS83W3aM
102,"Baile da Colômbia (Brega Funk) - Remix","MC Ysa",1069425,https://open.spotify.com/track/2qiqXQ2Suc253bR7k9AKVD
103,"Sei Lá",Projota,1064478,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM
104,Parabéns,"Pabllo Vittar",1057252,https://open.spotify.com/track/6X0XdIcgwfVa9orJnDMQB0
105,"bad guy","Billie Eilish",1053046,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
106,"Cem Mil - Ao Vivo","Gusttavo Lima",1049894,https://open.spotify.com/track/5eMmT4Ava5BGThju0AD8vQ
107,"I Don't Care (with Justin Bieber)","Ed Sheeran",1038338,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
108,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",1020254,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
109,"Espelho Meu - Ao Vivo","Henrique & Diego",1019571,https://open.spotify.com/track/4mtHXZBOBMrZSI6jp3X9WJ
110,"Maldita de Ex","Mc Leozin",1006503,https://open.spotify.com/track/6Diq6oBnDVzsrNcRllXRbM
111,Lalala,Y2K,1004419,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
112,"Bebaça - Ao Vivo","Marília Mendonça",1002371,https://open.spotify.com/track/6YjyT6MEMsMc41NNWk2dYg
113,Gelo,Melim,998140,https://open.spotify.com/track/0J6cINt02c8UQqDG7vLShY
114,"Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo","Yasmin Santos",997590,https://open.spotify.com/track/4pnlRYoaaGu24SuC3et5Pv
115,"Bebe e Vem Me Procurar","Raí Saia Rodada",989038,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq
116,"50 Vezes - Ao Vivo","Sorriso Maroto",988930,https://open.spotify.com/track/01wavOnjFBNgdMWBFYIAP4
117,"Não sou obrigada",POCAH,987227,https://open.spotify.com/track/0nkDm27DGppCSk8dnGtvPa
118,"Sem Sal - Ao Vivo","Marília Mendonça",974553,https://open.spotify.com/track/0EZuXcsnjEmGuRYdFdcctX
119,"Até que enfim - Ao vivo",Ferrugem,971140,https://open.spotify.com/track/1zI3RU0boCVsAXChjCvESu
120,"Estado Decadente - Acústico","Zé Neto & Cristiano",961611,https://open.spotify.com/track/4eB8rsNNm5791m3uvEBNLR
121,"Fica à vontade","Pedro Sampaio",957140,https://open.spotify.com/track/0h1mVA8gOPR71lxSeY67uT
122,ROXANNE,"Arizona Zervas",956074,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
123,"Credo que delícia","MC Kevinho",953014,https://open.spotify.com/track/4H9vyrlKZpzd1FW3oupnzD
124,"Casa mais feliz da rua - Ao vivo","João Gustavo e Murilo",946640,https://open.spotify.com/track/2fvxmRWpeqZN8xatpB66pC
125,"Na Cama Que Eu Paguei - Ao Vivo","Wesley Safadão",945673,https://open.spotify.com/track/6hqQPoB1yYKcLfByfxO8he
126,"Tchau Brigado - Ao Vivo","Humberto & Ronaldo",918806,https://open.spotify.com/track/0WqNOaLQlWh1q11NSHunmu
127,"Regras - Ao Vivo","Diego & Arnaldo",917240,https://open.spotify.com/track/11DkUDkBt9kaha1QRnuCMU
128,"RITMO (Bad Boys For Life)","Black Eyed Peas",911336,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
129,"Sem Rede - Ao Vivo","Henrique & Juliano",910192,https://open.spotify.com/track/3pgO4N6Xkr8Ct0U9RgkrQh
130,"Deixa (feat. Ana Gabriela)",Lagum,902302,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
131,"Old Town Road - Remix","Lil Nas X",900204,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
132,"Eterna Sacanagem","MC JottaPê",888246,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
133,"Piece Of Your Heart",MEDUZA,880819,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
134,"Amor de Fim de Noite",Orochi,878940,https://open.spotify.com/track/0nDnvGagGAQP5vpgCyS5yH
135,"Vamos pra Gaiola","MC Kevin o Chris",873327,https://open.spotify.com/track/7FiIQXpIeLo3ITfGGpb8PB
136,"Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo","Atitude 67",865454,https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX
137,"Pagou De Superada","Mc Anônimo",859167,https://open.spotify.com/track/3GSGW5pQhHKBmmQLebX3vx
138,"Tonelada de Solidão (feat. Ferrugem) - Ao Vivo","Marcos & Belutti",857847,https://open.spotify.com/track/2dEkETSUpO8oZoCOcKT1yN
139,"Não Me Sinto Mal Mais",Sidoka,851903,https://open.spotify.com/track/563yuGweEqRVQtjfsDVRyK
140,"7 rings","Ariana Grande",848012,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
141,Falling,"Trevor Daniel",846851,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
142,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,839080,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r
143,"Bem Pior Que Eu - Ao Vivo","Marília Mendonça",838972,https://open.spotify.com/track/4UANYptjv2kpV6IY7IjXoJ
144,"MIL GRAU","Gloria Groove",838345,https://open.spotify.com/track/4BkjISAYyQ6OMnEpzpQxgA
145,Infarto,"Diego & Victor Hugo",837579,https://open.spotify.com/track/0XEJ7eph2IWFYZc73Jm3n2
146,Memories,"Maroon 5",833020,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
147,"Meu talismã",IZA,825203,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX
148,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",823924,https://open.spotify.com/track/371Up3WP7OqJNFPf0BiyUe
149,"Dona de mim",IZA,817268,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN
150,"Cidade Vizinha - Ao Vivo","Henrique & Juliano",815002,https://open.spotify.com/track/6pgoGpBkKUvXrrU95j0khl
151,"Onze e Pouquinho",Dilsinho,812871,https://open.spotify.com/track/65i9Mc7h1CG7ssI1OhMPcT
152,"Ela É do Tipo","MC Kevin o Chris",810887,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP
