,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
58,59,59,Sunday Best,Surfaces,9098932,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4,158571
59,60,60,Be Kind (with Halsey),Marshmello,8970641,3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.088,1,0.0457,0.00776,0,0.0541,0.452,93.995,4,172762
60,61,61,bad guy,Billie Eilish,8944617,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,194088
61,62,62,Falling,Trevor Daniel,8916219,2rRJrJEo19S2J82BDsQ3F7,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,4,159382
62,63,63,Memories,Maroon 5,8897715,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,4,189486
63,64,64,THE SCOTTS,THE SCOTTS,8856234,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,4,165978
64,65,65,Nobody's Love,Maroon 5,8715690,3kwgqoBqTwoAH4nT29TYrq,0.486,0.567,1,-6.456,1,0.0379,0.31,0,0.0949,0.154,93.68,4,211254
65,66,66,mirrorball,Taylor Swift,8690740,0ZNU020wNYvgW84iljPkPP,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,4,208978
66,67,67,seven,Taylor Swift,8630029,6KJqZcs9XDgVck7Lg9QOTC,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926,4,208907
67,68,68,In Your Eyes,The Weeknd,8573974,7szuecWAPwGoV1e5vGu8tl,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,4,237520
68,69,69,invisible string,Taylor Swift,8509963,6VsvKPJ4xjVNKpI8VVZ3SV,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,4,252881
69,70,70,Conversations,Juice WRLD,8452100,2fZTS0VboxRpF0FdfY7E5P,0.747,0.622,11,-5.825,1,0.0838,0.176,0,0.151,0.57,159.93,4,181661
70,71,71,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,8448316,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4,157560
71,72,72,HIGHEST IN THE ROOM,Travis Scott,8305279,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,175721
72,73,73,Say So,Doja Cat,8295688,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,4,237893
73,74,74,Secrets,Regard,8172533,66W1rVTnEv86dIkFhoiElg,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,4,176767
74,75,75,Ride It,Regard,8131178,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,157606
75,76,76,Lucid Dreams,Juice WRLD,8113632,285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4,239836
76,77,77,Hasta Que Dios Diga,Anuel AA,8024377,06s3QtMJVXw1AJX3UfvZG1,0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021,4,246000
77,78,78,this is me trying,Taylor Swift,7981241,7kt9e9LFSpN1zQtYEl19o1,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-05,0.171,0.412,135.886,4,195097
78,79,79,everything i wanted,Billie Eilish,7927140,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4,245426
79,80,80,Got It On Me,Pop Smoke,7903772,25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,4,164580
80,81,81,Dior,Pop Smoke,7896579,79s5XnCN4TJKTVMSmOx8Ep,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,4,216387
81,82,82,Stunnin' (feat. Harm Franklin),Curtis Waters,7807214,2D0dj3hVkRQJCp63cxCPEx,0.885,0.685,11,-6.429,0,0.0627,0.33,0,0.148,0.937,99.954,4,144000
82,83,83,illicit affairs,Taylor Swift,7796587,2NmsngXHeC1GQ9wWrzhOMf,0.559,0.31,10,-10.445,1,0.0338,0.881,0,0.106,0.46,119.845,4,190898
83,84,84,SICKO MODE,Travis Scott,7767424,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4,312820
84,85,85,ROXANNE,Arizona Zervas,7718521,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,5,163636
85,86,86,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,7705239,66FgjA5ZQJJuypFG1bc8se,0.701,0.65,6,-6.313,1,0.104,0.291,0,0.112,0.647,90.003,4,160212
86,87,87,Rags2Riches (feat. ATR Son Son),Rod Wave,7652192,1ENdcyhqdylaLsPVgB83qq,0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,4,167184
87,88,88,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,7614491,7lUdbnz7wsv3C9zzf4WHl9,0.793,0.737,6,-4.731,0,0.0785,0.0765,0,0.0747,0.697,167.969,4,333800
88,89,89,Some Say - Felix Jaehn Remix,Nea,7611694,7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0.406,0,0.174,0.637,120.03,4,186878
89,90,90,GOOBA,6ix9ine,7599856,4NhDYoQTYCdWHTvlbGVgwo,0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462,4,132303
90,91,91,Elegí (feat. Dímelo Flow),Rauw Alejandro,7598813,50ZC4PM7hywH27RcCfViau,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,171.965,4,197721
91,92,92,Life Is Good (feat. Drake),Future,7572629,1K5KBOgreBi5fkEHvg5ap3,0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,4,237918
