,Unnamed: 0,Unnamed: 0.1,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
40,40,40,41,41,Snitch E Impicci (con FSK SATELLITE),DrefGold,639378,6HDdOPc6FWpMfjC8ebzdRC,0.89,0.555,1,-5.6320000000000014,1,0.125,0.0631,0.0,0.111,0.265,126.032,4,202381,Hip-Hop/Rap,2020-02-27
41,41,41,42,42,Musica (E Il Resto Scompare),Elettra Lamborghini,636161,3Nc7IorgrSffzaQrQWVw4L,0.779,0.835,0,-4.04,1,0.134,0.0217,0.0,0.393,0.922,114.987,4,194606,Urbano latino,2020-02-07
42,42,42,43,43,fuck 3x,tha Supreme,635274,5YxP1CkunbhUQVvctFOHa7,0.655,0.8140000000000001,5,-5.472,0,0.0823,0.0698,0.0,0.107,0.69,180.082,4,161266,Hip-Hop/Rap,2019-11-15
43,43,43,44,44,Falling,Trevor Daniel,633131,2rRJrJEo19S2J82BDsQ3F7,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,4,159382,Pop,2020-03-26
44,44,44,45,45,Missili,Frah Quintale,628588,5dcyltc1ataieXIeTqhH3t,0.706,0.6829999999999999,4,-5.402,0,0.105,0.443,0.0,0.313,0.6759999999999999,90.039,4,195349,Pop,2018-06-29
45,45,45,46,46,HIGHEST IN THE ROOM,Travis Scott,620744,3eekarcy7kvN4yt5ZFzltW,0.598,0.4270000000000001,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,175721,Hip-Hop/Rap,2019-10-04
46,46,46,47,47,16 Marzo (feat. Gow Tribe),Achille Lauro,591215,3nwH3HTFzpnRV5SqM9um3r,0.489,0.611,0,-4.981,1,0.0298,0.215,0.0,0.127,0.227,129.929,4,233493,Pop,2020-04-03
47,47,47,48,48,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,559831,5EpBEqf5bnKeJ3p4zA1Sod,0.6559999999999999,0.6609999999999999,9,-5.888,1,0.0602,0.0686,0.0,0.125,0.509,140.95600000000005,4,223045,Hip-Hop/Rap,2020-03-27
48,48,48,49,49,MA IL CIELO E' SEMPRE BLU (ITALIANSTARS4LIFE),ITALIAN ALLSTARS 4 LIFE,557437,2xqyJa4BRzrEM4HQVgeazW,0.618,0.863,11,-3.207,0,0.071,0.0495,0.0,0.14400000000000002,0.561,145.891,4,333084,Pop,2020-05-08
49,49,49,50,50,Stuck with U (with Justin Bieber),Ariana Grande,552349,4HBZA5flZLE435QTztThqH,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,3,228482,Pop,2020-05-08
50,50,50,51,51,Before You Go,Lewis Capaldi,540241,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.8580000000000005,1,0.0573,0.604,0.0,0.0885,0.183,111.881,4,215107,Alternative,2019-11-22
51,51,51,52,52,Chiasso,Random,529798,4UJoAdTMnqxQHKWKLLQpvK,0.721,0.451,6,-13.285,0,0.192,0.246,0.0,0.101,0.46,91.999,4,182229,Hip-Hop/Rap,2019-05-27
52,52,52,53,53,ANSIA NO,FSK SATELLITE,528944,2yuYI5NFhevxa05se7Qht9,0.823,0.6779999999999999,1,-6.664,1,0.56,0.153,0.0,0.218,0.706,160.13299999999995,4,148500,Hip-Hop/Rap,2019-12-05
